UserId,c#,java,javascript
1,31.58,0.0,0.0
3,42.86,0.0,50.0
4,50.0,,100.0
5,29.63,,25.0
9,37.5,0.0,0.0
13,29.63,45.87,35.0
17,20.74,11.11,21.43
20,100.0,0.0,32.61
22,,27.27,38.1
26,21.88,0.0,25.93
29,38.03,16.67,50.0
30,,,16.67
33,37.93,100.0,0.0
34,25.0,,0.0
35,19.35,60.0,25.0
36,18.18,,0.0
37,,,50.0
39,18.18,0.0,50.0
40,0.0,50.0,66.67
45,27.5,50.0,41.67
46,37.5,0.0,0.0
48,0.0,,0.0
49,55.56,,0.0
50,0.0,50.0,20.75
51,36.89,,37.5
55,20.0,33.33,0.0
56,0.0,,11.11
58,0.0,0.0,12.5
60,38.89,,38.17
63,0.0,,0.0
64,15.91,20.0,9.09
67,46.06,40.0,42.24
70,,,100.0
71,21.53,0.0,20.0
72,0.0,0.0,30.0
75,,25.0,0.0
77,29.02,0.0,8.33
80,0.0,,0.0
85,,9.09,0.0
86,36.36,18.18,0.0
91,28.97,22.22,22.73
93,7.14,0.0,33.33
95,40.0,,50.0
96,36.17,28.57,30.77
101,,100.0,53.13
106,14.29,0.0,28.07
108,66.67,70.0,0.0
109,0.0,,0.0
115,0.0,0.0,0.0
116,14.29,25.0,0.0
117,,0.0,0.0
118,0.0,33.33,0.0
122,15.0,25.93,33.33
123,20.0,25.0,0.0
131,0.0,,0.0
133,42.86,100.0,60.0
136,0.0,33.33,0.0
137,,,0.0
147,,,14.29
149,26.92,0.0,31.25
150,20.0,0.0,0.0
169,47.83,0.0,42.86
170,,12.5,0.0
184,0.0,10.0,0.0
188,20.0,18.75,11.11
191,18.18,0.0,13.64
192,16.67,,50.0
197,,42.86,20.0
199,33.33,100.0,0.0
200,50.0,33.33,100.0
202,24.0,,33.33
203,0.0,,0.0
204,,,0.0
205,29.41,,0.0
207,35.29,100.0,9.09
208,,,14.29
209,43.75,,0.0
210,,100.0,28.89
212,50.0,0.0,0.0
214,17.92,0.0,0.0
219,,,33.33
225,32.89,80.0,25.93
227,20.59,0.0,0.0
230,28.57,,0.0
232,33.33,,11.11
233,39.88,,0.0
234,32.59,33.33,20.0
238,33.33,75.0,40.0
242,33.33,0.0,50.0
243,45.83,0.0,10.53
245,12.5,0.0,66.67
246,0.0,37.5,0.0
247,11.11,50.0,0.0
255,50.0,0.0,0.0
257,0.0,0.0,0.0
258,33.33,0.0,0.0
264,0.0,,66.67
266,36.11,0.0,62.5
267,45.13,26.67,25.0
268,33.33,29.17,26.44
270,28.57,33.33,26.97
271,,0.0,0.0
274,50.0,0.0,0.0
275,25.86,0.0,40.0
278,33.33,,50.0
292,14.29,23.68,50.0
296,18.75,0.0,50.0
298,50.0,,62.5
300,42.86,0.0,0.0
302,,,38.89
303,66.67,,100.0
304,0.0,42.29,64.62
305,0.0,,18.03
307,18.87,100.0,0.0
308,60.0,,0.0
312,31.82,,17.65
314,,,50.0
