What Country or Region do you live in?,How old are you?,Which of the following best describes your occupation?,What type of project are you developing?,Which languages are you proficient in?,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,What operating system do you use the most?,Which of our sites do you frequent most?
Response,Response,Response,Response,Java,JavaScript,CSS,PHP,Python,Ruby,SQL,C#,C++,C,Perl,None,other (please specify),Response,Response
Africa,< 20,Web Application Developer,Mobile,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,N/A
Other Europe,25-29,Server Programmer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,C,N/A,N/A,N/A,Windows 7,Stack Overflow
India,25-29,Server Programmer,SaaS,Java,JavaScript,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Linux,N/A
Germany,< 20,Student,Other,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Haskell,Linux,Stack Overflow
Other Asia,35-39,"Executive (VP of Eng, CTO, CIO, etc.)",Enterprise,Java,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,C++,C,Perl,N/A,N/A,Linux,Stack Overflow
Australia,35-39,Web Application Developer,Enterprise,N/A,JavaScript,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,20-24,"Executive (VP of Eng, CTO, CIO, etc.)",Web Platform,N/A,JavaScript,CSS,PHP,Python,N/A,SQL,C#,C++,C,Perl,N/A,N/A,Windows 7,Stack Overflow
United States of America,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Linux,None
Germany,35-39,Desktop Application Developer,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Germany,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United Kingdom,35-39,IT Staff / System Administrator,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Windows 7,Server Fault
United Kingdom,25-29,Web Application Developer,Other,N/A,JavaScript,N/A,N/A,Python,N/A,SQL,N/A,C++,C,Perl,N/A,N/A,Linux,Stack Overflow
India,25-29,Database Administrator,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,30-34,Server Programmer,Other,Java,JavaScript,CSS,PHP,Python,N/A,SQL,N/A,N/A,C,N/A,N/A,N/A,Linux,Stack Overflow
Other Europe,20-24,Server Programmer,Web Platform,Java,N/A,N/A,N/A,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,25-29,Web Application Developer,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,Perl,N/A,VB,Windows 7,Stack Overflow
Australia,25-29,Manager of Developers or Team Leader,Enterprise,Java,N/A,N/A,N/A,Python,N/A,SQL,C#,N/A,C,N/A,N/A,MATLAB,Windows 7,Stack Overflow
Australia,30-34,Web Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,20-24,Student,Mobile,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,25-29,Desktop Application Developer,Other,Java,N/A,N/A,N/A,Python,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
France,25-29,Manager of Developers or Team Leader,SaaS,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,IT Staff / System Administrator,Enterprise,Java,N/A,N/A,N/A,Python,N/A,N/A,N/A,C++,N/A,N/A,N/A,N/A,Linux,Server Fault
Germany,25-29,Manager of Developers or Team Leader,Enterprise,N/A,N/A,N/A,PHP,N/A,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,35-39,Desktop Application Developer,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,35-39,Web Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Australasia,51-60,IT Staff / System Administrator,Enterprise,N/A,N/A,CSS,N/A,N/A,N/A,SQL,C#,C++,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Canada,30-34,Web Application Developer,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Programmers Stack Exchange
