What Country or Region do you live in?,How old are you?,Which of the following best describes your occupation?,What type of project are you developing?,Which languages are you proficient in?,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Which desktop operating system do you use the most?,Which of our sites do you frequent most?
India,20-24,Server Programmer,SaaS,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,N/A,C++,C,N/A,N/A,N/A,N/A,Linux,N/A
Germany,25-29,Embedded Application Developer,Mobile,N/A,JavaScript,CSS,PHP,N/A,Objective-C,N/A,N/A,N/A,C++,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,20-24,Web Application Developer,Web Platform,N/A,N/A,CSS,PHP,N/A,Objective-C,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Mac OS X,Stack Overflow
France,20-24,Embedded Application Developer,Mobile,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,< 20,Student,Mobile,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Other Europe,30-34,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Mac OS X,Stack Overflow
Other Europe,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,N/A
Other Europe,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
Russia,20-24,Server Programmer,SaaS,Java,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,C++,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,20-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,25-29,Server Programmer,Enterprise,Java,JavaScript,CSS,N/A,Python,N/A,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United Kingdom,25-29,Embedded Application Developer,Other,N/A,N/A,N/A,PHP,N/A,Objective-C,N/A,SQL,N/A,C++,C,Perl,N/A,N/A,N/A,Mac OS X,Programmers Stack Exchange
Other Europe,30-34,Web Application Developer,Web Platform,Java,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,N/A
Canada,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Italy,20-24,Desktop Application Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Italy,25-29,Web Application Developer,Web Platform,Java,N/A,N/A,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Other Europe,20-24,Server Programmer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,30-34,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
India,20-24,Systems Analyst,Web Platform,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,N/A,C++,C,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United Kingdom,20-24,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Linux,Stack Overflow
United States of America,20-24,Embedded Application Developer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Other Stack Exchange (please specify)
United Kingdom,< 20,Student,SaaS,N/A,N/A,CSS,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,25-29,Web Application Developer,Mobile,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
France,20-24,Student,Mobile,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,N/A
United Kingdom,25-29,Web Application Developer,Web Platform,Java,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,VB.NET,Windows 7,Stack Overflow
United Kingdom,20-24,Web Application Developer,Mobile,N/A,JavaScript,CSS,PHP,Python,Objective-C,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,ASP.NET,Windows 7,Stack Overflow
United States of America,40-50,IT Staff / System Administrator,Web Platform,N/A,N/A,N/A,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
France,35-39,Desktop Application Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United Kingdom,20-24,Student,None / Unemployed,N/A,N/A,CSS,PHP,Python,N/A,N/A,SQL,C#,C++,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
Other Europe,20-24,Desktop Application Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canada,30-34,Systems Analyst,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,25-29,IT Staff / System Administrator,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,N/A,C++,N/A,Perl,HTML5,N/A,N/A,Mac OS X,Stack Overflow
United Kingdom,25-29,Desktop Application Developer,Other,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
