What Country or Region do you live in?,How old are you?,Unnamed: 2,Which of the following languages or technologies have you used significantly in the past year?,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Which technologies are you excited about?,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Which desktop operating system do you use the most?
United Kingdom,35-39,N/A,N/A,N/A,N/A,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
United States of America,25-29,N/A,N/A,N/A,C#,N/A,JavaScript,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,N/A,MySql / VbScript,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
United States of America,51-60,N/A,N/A,N/A,C#,N/A,JavaScript,jQuery,N/A,N/A,N/A,N/A,N/A,N/A,SQL,"PL/SQL, XSLT, XQuery",N/A,N/A,N/A,N/A,N/A,C++11,N/A,N/A,N/A,F#,N/A,Windows 7
Germany,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,35-39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,< 20,Other,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
United States of America,20-24,N/A,C,C++,N/A,Java,JavaScript,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,Windows 7
United Kingdom,20-24,N/A,N/A,N/A,N/A,N/A,JavaScript,jQuery,N/A,N/A,N/A,PHP,Python,N/A,SQL,N/A,N/A,N/A,CoffeeScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux
Germany,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,< 20,N/A,N/A,N/A,N/A,Java,N/A,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PhoneGap,Mac OS X
United States of America,40-50,N/A,N/A,N/A,N/A,Java,N/A,jQuery,N/A,N/A,N/A,PHP,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X
United Kingdom,35-39,N/A,N/A,N/A,C#,N/A,JavaScript,jQuery,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Redis,N/A,N/A,PhoneGap,Windows 7
United States of America,35-39,Other,C,N/A,N/A,Java,JavaScript,jQuery,N/A,N/A,Objective-C,N/A,N/A,N/A,N/A,"Freemarker, Soy",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X
United States of America,25-29,N/A,C,N/A,N/A,Java,JavaScript,N/A,N/A,N/A,N/A,PHP,Python,N/A,SQL,Android SDK,N/A,N/A,CoffeeScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
Germany,25-29,N/A,N/A,N/A,N/A,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux
Other Europe,25-29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Germany,25-29,N/A,C,N/A,N/A,N/A,JavaScript,N/A,N/A,Node.js,N/A,N/A,Python,Ruby,N/A,Lua,Node.js,Haskell,N/A,N/A,N/A,N/A,N/A,Redis,MongoDB,N/A,N/A,Mac OS X
Other Europe,35-39,N/A,C,C++,N/A,Java,N/A,N/A,N/A,N/A,N/A,PHP,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,Linux
Middle East,25-29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United Kingdom,< 20,N/A,C,C++,N/A,Java,JavaScript,N/A,N/A,N/A,N/A,PHP,N/A,N/A,SQL,Actionscript,Node.js,Haskell,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,Linux
United States of America,20-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Europe,20-24,N/A,N/A,C++,N/A,N/A,N/A,N/A,N/A,N/A,Objective-C,N/A,N/A,N/A,N/A,matlab,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X
Other Europe,30-34,N/A,C,N/A,N/A,Java,JavaScript,jQuery,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
Other Europe,30-34,N/A,N/A,N/A,N/A,N/A,JavaScript,N/A,N/A,N/A,N/A,PHP,N/A,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X
Italy,20-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Europe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canada,25-29,N/A,C,C++,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,Windows 7
United States of America,25-29,N/A,N/A,C++,N/A,Java,JavaScript,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++11,N/A,N/A,MongoDB,N/A,N/A,Linux
India,< 20,N/A,C,C++,N/A,Java,JavaScript,jQuery,N/A,N/A,N/A,N/A,Python,Ruby,N/A,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X
United States of America,35-39,Other,N/A,N/A,C#,N/A,JavaScript,jQuery,N/A,Node.js,N/A,N/A,N/A,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,WinRT,N/A,N/A,N/A,N/A,Windows 8
Russia,20-24,N/A,N/A,C++,C#,N/A,N/A,jQuery,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TypeScript,N/A,N/A,N/A,MongoDB,F#,N/A,Windows 7
United States of America,40-50,Other,N/A,N/A,C#,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,N/A,Other
Australia,25-29,N/A,N/A,N/A,N/A,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,N/A,Mac OS X
United States of America,51-60,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,Delphi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
Australia,30-34,N/A,N/A,N/A,N/A,Java,N/A,N/A,N/A,N/A,Objective-C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X
South America,40-50,N/A,N/A,N/A,C#,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,TypeScript,C++11,N/A,N/A,N/A,N/A,N/A,Windows 7
United Kingdom,25-29,N/A,C,C++,C#,Java,JavaScript,N/A,N/A,N/A,Objective-C,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,C++11,WinRT,N/A,N/A,N/A,N/A,Mac OS X
Other Europe,20-24,N/A,N/A,N/A,N/A,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Redis,MongoDB,N/A,N/A,Linux
France,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Europe,20-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Russia,20-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,40-50,N/A,N/A,N/A,C#,N/A,JavaScript,jQuery,N/A,N/A,N/A,N/A,N/A,N/A,SQL,PowerShell,Node.js,N/A,N/A,N/A,TypeScript,N/A,WinRT,N/A,N/A,N/A,N/A,Windows XP
Canada,25-29,N/A,N/A,N/A,C#,N/A,JavaScript,jQuery,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 8
