What Country do you live in?,How old are you?,What is your gender?,Which of the following best describes your occupation?,Which of the following languages or technologies have you used significantly in the past year?,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Which technologies are you excited about?,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Which desktop operating system do you use the most?,How do you use Stack Overflow?,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,How often do you find solutions to your programming problems on Stack Overflow without asking a new question?
India,30-34,Female,Back-End Web Developer,N/A,N/A,N/A,Java,JavaScript,N/A,N/A,PHP,Python,N/A,N/A,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,Go,Hadoop,AngularJS,N/A,N/A,Linux,Read other people's questions to solve my problems,Ask questions to solve problems,N/A,N/A,N/A,N/A,Almost Always
Thailand,20-24,Male,Back-End Web Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PHP,N/A,N/A,N/A,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,N/A,N/A,N/A,N/A,Arduino / Raspberry Pi,Ubuntu,Read other people's questions to solve my problems,N/A,N/A,N/A,N/A,N/A,N/A
Iran,25-29,Male,Desktop Software Developer,N/A,N/A,C#,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,F#,N/A,N/A,N/A,N/A,N/A,Windows 7,Read other people's questions to solve my problems,N/A,N/A,N/A,N/A,N/A,Almost Always
Ukraine,< 20,Male,Student,N/A,C++,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Node.js,N/A,CoffeeScript,N/A,C++11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Arduino / Raspberry Pi,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,N/A,N/A,N/A,N/A,Almost Always
India,25-29,Male,Full-Stack Web Developer,N/A,N/A,N/A,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 8,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Denmark,25-29,Male,Back-End Web Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
India,25-29,Male,Database Administrator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,oracle plsql,N/A,Haskell,N/A,N/A,C++11,N/A,N/A,N/A,N/A,Hadoop,N/A,N/A,N/A,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,N/A,N/A,Build my online reputation,to help other programmers get out of where they're stuck,Always
India,20-24,Male,Full-Stack Web Developer,N/A,N/A,N/A,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Redis,MongoDB,N/A,N/A,Hadoop,AngularJS,N/A,N/A,Ubuntu,Read other people's questions to solve my problems,Ask questions to solve problems,N/A,N/A,N/A,N/A,Often
United Kingdom,20-24,Male,Back-End Web Developer,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Arduino / Raspberry Pi,Windows 7,Read other people's questions to solve my problems,N/A,N/A,N/A,N/A,N/A,Almost Always
New Zealand,30-34,Male,Full-Stack Web Developer,N/A,N/A,C#,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MongoDB,F#,N/A,N/A,N/A,N/A,N/A,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Often
