UserId,NumAnswers,NumAccepted,AcceptedPercent
1,125,37,29.6
2,4,2,50.0
3,38,14,36.8421052632
4,174,74,42.5287356322
5,281,86,30.6049822064
9,47,19,40.4255319149
13,2139,930,43.4782608696
17,545,145,26.6055045872
20,86,25,29.0697674419
22,183,62,33.8797814208
23,4,2,50.0
25,21,2,9.52380952381
26,183,27,14.7540983607
29,413,163,39.4673123487
30,62,12,19.3548387097
33,100,37,37.0
34,41,11,26.8292682927
35,178,37,20.7865168539
36,98,17,17.3469387755
37,53,15,28.3018867925
38,24,2,8.33333333333
39,51,10,19.6078431373
40,60,12,20.0
42,216,67,31.0185185185
45,346,98,28.323699422
46,43,11,25.5813953488
48,38,12,31.5789473684
49,106,46,43.3962264151
50,214,43,20.0934579439
51,306,117,38.2352941176
55,63,8,12.6984126984
56,25,3,12.0
58,36,4,11.1111111111
59,15,7,46.6666666667
60,589,257,43.6332767402
61,84,13,15.4761904762
62,41,11,26.8292682927
63,54,7,12.962962963
64,136,27,19.8529411765
67,1127,533,47.2937000887
70,8,1,12.5
71,540,114,21.1111111111
72,235,83,35.3191489362
75,48,8,16.6666666667
76,19,6,31.5789473684
77,411,115,27.9805352798
79,38,13,34.2105263158
80,14,4,28.5714285714
82,74,19,25.6756756757
83,39,2,5.1282051282
85,67,8,11.9402985075
86,101,21,20.7920792079
91,672,198,29.4642857143
92,65,17,26.1538461538
93,40,10,25.0
95,299,166,55.5183946488
96,194,55,28.3505154639
99,5,1,20.0
100,38,7,18.4210526316
101,91,37,40.6593406593
102,224,66,29.4642857143
103,14,3,21.4285714286
106,191,45,23.5602094241
108,57,28,49.1228070175
109,10,1,10.0
112,261,138,52.8735632184
115,257,43,16.7315175097
116,278,49,17.6258992806
117,26,7,26.9230769231
118,111,36,32.4324324324
121,13,0,0.0
122,183,35,19.1256830601
123,163,35,21.472392638
124,2,0,0.0
131,22,0,0.0
133,139,82,58.9928057554
136,78,21,26.9230769231
137,71,7,9.85915492958
142,23,3,13.0434782609
143,119,62,52.1008403361
144,81,37,45.6790123457
145,19,2,10.5263157895
146,35,3,8.57142857143
147,37,8,21.6216216216
148,54,22,40.7407407407
149,200,39,19.5
150,22,4,18.1818181818
152,14,5,35.7142857143
154,7,3,42.8571428571
156,24,6,25.0
157,220,98,44.5454545455
161,55,15,27.2727272727
163,42,8,19.0476190476
164,50,29,58.0
169,66,32,48.4848484848
170,31,3,9.67741935484
171,32,5,15.625
184,72,12,16.6666666667
188,362,70,19.3370165746
189,40,15,37.5
191,94,16,17.0212765957
192,22,4,18.1818181818
193,14,6,42.8571428571
194,85,16,18.8235294118
197,45,20,44.4444444444
198,49,10,20.4081632653
199,66,14,21.2121212121
200,56,18,32.1428571429
202,104,27,25.9615384615
203,8,0,0.0
204,49,13,26.5306122449
205,46,9,19.5652173913
206,48,6,12.5
207,88,24,27.2727272727
208,15,3,20.0
209,63,24,38.0952380952
210,358,136,37.9888268156
212,14,3,21.4285714286
214,125,19,15.2
216,41,16,39.0243902439
219,39,15,38.4615384615
223,83,17,20.4819277108
224,42,6,14.2857142857
225,367,134,36.5122615804
227,93,21,22.5806451613
230,33,5,15.1515151515
231,36,11,30.5555555556
232,66,13,19.696969697
233,295,114,38.6440677966
234,540,146,27.037037037
235,109,47,43.119266055
238,115,26,22.6086956522
242,48,11,22.9166666667
243,274,86,31.3868613139
244,13,0,0.0
245,124,49,39.5161290323
246,27,8,29.6296296296
247,54,14,25.9259259259
255,270,66,24.4444444444
257,56,9,16.0714285714
258,24,5,20.8333333333
259,160,28,17.5
260,57,15,26.3157894737
264,20,5,25.0
266,196,73,37.2448979592
267,2552,1086,42.5548589342
268,282,75,26.5957446809
269,41,5,12.1951219512
270,260,71,27.3076923077
271,22,2,9.09090909091
274,113,16,14.1592920354
275,132,33,25.0
276,87,44,50.5747126437
277,13,0,0.0
278,21,6,28.5714285714
279,58,5,8.62068965517
287,222,52,23.4234234234
292,84,15,17.8571428571
296,124,32,25.8064516129
298,60,21,35.0
299,21,5,23.8095238095
300,168,52,30.9523809524
302,73,29,39.7260273973
303,20,10,50.0
304,1441,628,43.5808466343
305,282,79,28.0141843972
307,127,26,20.4724409449
308,42,17,40.4761904762
312,107,24,22.4299065421
313,16,2,12.5
314,34,12,35.2941176471
316,12,2,16.6666666667
317,79,45,56.9620253165
318,39,11,28.2051282051
319,9,3,33.3333333333
320,192,50,26.0416666667
322,76,32,42.1052631579
326,88,37,42.0454545455
327,27,5,18.5185185185
332,152,18,11.8421052632
337,287,92,32.0557491289
338,412,101,24.5145631068
340,41,25,60.9756097561
341,64,21,32.8125
342,375,40,10.6666666667
343,79,20,25.3164556962
350,42,10,23.8095238095
356,148,25,16.8918918919
357,94,9,9.57446808511
358,32,9,28.125
361,246,92,37.3983739837
363,23,7,30.4347826087
364,351,122,34.7578347578
369,1097,522,47.5843208751
370,88,11,12.5
371,310,72,23.2258064516
372,457,73,15.9737417943
373,26,4,15.3846153846
376,64,8,12.5
377,615,188,30.5691056911
380,162,17,10.4938271605
381,27,4,14.8148148148
383,185,26,14.0540540541
384,43,15,34.8837209302
390,33,9,27.2727272727
392,348,137,39.367816092
394,107,20,18.691588785
396,231,66,28.5714285714
402,13,3,23.0769230769
404,171,50,29.2397660819
409,6,0,0.0
410,33,4,12.1212121212
411,49,23,46.9387755102
414,274,58,21.1678832117
415,47,14,29.7872340426
417,23,1,4.34782608696
419,1106,490,44.3037974684
422,174,62,35.632183908
423,58,10,17.2413793103
425,34,8,23.5294117647
426,155,19,12.2580645161
428,27,2,7.40740740741
429,80,11,13.75
430,76,19,25.0
431,77,27,35.0649350649
432,64,10,15.625
434,9,2,22.2222222222
437,173,62,35.838150289
443,151,64,42.3841059603
445,56,16,28.5714285714
446,15,3,20.0
452,4,2,50.0
456,536,97,18.0970149254
457,80,30,37.5
459,380,65,17.1052631579
462,24,10,41.6666666667
470,52,11,21.1538461538
473,5,2,40.0
475,76,16,21.0526315789
476,7220,3749,51.9252077562
479,69,10,14.4927536232
483,40,7,17.5
